,app,path,experiment,experiment_type,metric_name,direction,metric,value,unit,agent,attempt
43,amg2013,./results/amg2023-decision-function/results-2025-09-12_21-30-48.json,amg2013-decision-function,user-provided-function,figure_of_merit,maximize,fom,7302.702,(nnz/s),minicluster,0
44,amg2013,./results/amg2023-decision-function/results-2025-09-12_21-30-48.json,amg2013-decision-function,user-provided-function,status,,status,succeeded,status,,
45,amg2013,./results/amg2023-decision-function/results-2025-09-12_16-54-21.json,amg2013-decision-function,user-provided-function,attempts,,attempts,1,count,build,
46,amg2013,./results/amg2023-decision-function/results-2025-09-12_16-54-21.json,amg2013-decision-function,user-provided-function,attempts,,attempts,2,count,minicluster,
47,amg2013,./results/amg2023-decision-function/results-2025-09-12_16-54-21.json,amg2013-decision-function,user-provided-function,figure_of_merit,maximize,fom,255.452,(nnz/s),minicluster,0
48,amg2013,./results/amg2023-decision-function/results-2025-09-12_16-54-21.json,amg2013-decision-function,user-provided-function,status,,status,succeeded,status,,
49,amg2013,./results/amg2023-decision-function/results-2025-09-12_20-28-59.json,amg2013-decision-function,user-provided-function,attempts,,attempts,4,count,build,
50,amg2013,./results/amg2023-decision-function/results-2025-09-12_20-28-59.json,amg2013-decision-function,user-provided-function,attempts,,attempts,1,count,minicluster,
51,amg2013,./results/amg2023-decision-function/results-2025-09-12_20-28-59.json,amg2013-decision-function,user-provided-function,figure_of_merit,maximize,fom,5764.137,(nnz/s),minicluster,0
52,amg2013,./results/amg2023-decision-function/results-2025-09-12_20-28-59.json,amg2013-decision-function,user-provided-function,status,,status,succeeded,status,,
53,amg2013,./results/amg2023-decision-function/results-2025-09-12_19-11-26.json,amg2013-decision-function,user-provided-function,attempts,,attempts,2,count,build,
54,amg2013,./results/amg2023-decision-function/results-2025-09-12_19-11-26.json,amg2013-decision-function,user-provided-function,attempts,,attempts,2,count,minicluster,
55,amg2013,./results/amg2023-decision-function/results-2025-09-12_19-11-26.json,amg2013-decision-function,user-provided-function,figure_of_merit,maximize,fom,4931.798,(nnz/s),minicluster,0
56,amg2013,./results/amg2023-decision-function/results-2025-09-12_19-11-26.json,amg2013-decision-function,user-provided-function,status,,status,succeeded,status,,
57,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,attempts,,attempts,2,count,build,
58,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,attempts,,attempts,12,count,minicluster,
59,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,attempts,,attempts,12,count,minicluster,
60,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,attempts,,attempts,12,count,minicluster,
61,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,attempts,,attempts,12,count,minicluster,
62,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,figure_of_merit,maximize,fom,69684330.0,(nnz/s),minicluster,0
63,amg2013,./results/amg2023-decision-function/results-2025-09-12_07-01-38.json,amg2013-decision-function,user-provided-function,status,,status,succeeded,status,,
64,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,2,count,minicluster,
65,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,133204.6,(nnz/s),minicluster,0
66,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,1140940000.0,(nnz/s),minicluster,1
67,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,2999153000.0,(nnz/s),minicluster,2
68,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,6016753000.0,(nnz/s),minicluster,3
69,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_16-07-04.json,amg2013-4-nodes,llm-decision-multi-node,status,,status,succeeded,status,,
70,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
71,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,133225.2,(nnz/s),minicluster,0
72,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,1537804000.0,(nnz/s),minicluster,1
73,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,1539750000.0,(nnz/s),minicluster,2
74,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,6132476000.0,(nnz/s),minicluster,3
75,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,1581762000.0,(nnz/s),minicluster,4
76,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_14-04-53.json,amg2013-4-nodes,llm-decision-multi-node,status,,status,succeeded,status,,
77,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
78,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
79,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
80,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
81,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,12,count,minicluster,
82,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,4628015.0,(nnz/s),minicluster,0
83,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,3958625.0,(nnz/s),minicluster,1
84,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,3424773.0,(nnz/s),minicluster,2
85,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,133008.7,(nnz/s),minicluster,3
