app,strategy,best_fom,n_foms,run,experiment
lammps,user guided function,0.022097000000000002,1,results-2025-09-14_03-57-58.json,lammps-decision-fom
lammps,user guided function,0.009298,1,results-2025-09-14_04-40-22.json,lammps-decision-fom
lammps,user guided function,0.355524,5,results-2025-09-14_06-07-12.json,lammps-decision-fom
lammps,user guided function,0.020718,1,results-2025-09-14_07-19-44.json,lammps-decision-fom
lammps,user guided function,0.019318000000000002,1,results-2025-09-14_07-48-43.json,lammps-decision-fom
lammps,user guided function,0.023399,1,results-2025-09-14_08-49-17.json,lammps-decision-fom
lammps,user guided function,0.019316,1,results-2025-09-14_12-45-47.json,lammps-decision-fom
lammps,user guided function,0.041934,1,results-2025-09-14_13-57-02.json,lammps-decision-fom
lammps,user guided function,0.017563,1,results-2025-09-14_16-50-02.json,lammps-decision-fom
lammps,user guided function,0.009023999999999999,1,results-2025-09-14_18-42-19.json,lammps-decision-fom
lammps,user provided function,0.123295,2,results-2025-09-12_23-55-31.json,lammps-decision-function
lammps,user provided function,0.022569,1,results-2025-09-13_00-21-49.json,lammps-decision-function
lammps,user provided function,0.022742000000000002,1,results-2025-09-13_00-51-51.json,lammps-decision-function
lammps,user provided function,0.7265499999999999,2,results-2025-09-13_01-38-29.json,lammps-decision-function
lammps,user provided function,0.023202,1,results-2025-09-13_02-12-42.json,lammps-decision-function
lammps,user provided function,0.022986,1,results-2025-09-13_02-36-25.json,lammps-decision-function
lammps,user provided function,0.009106,1,results-2025-09-13_03-26-16.json,lammps-decision-function
lammps,user provided function,0.023443000000000002,1,results-2025-09-13_03-58-25.json,lammps-decision-function
lammps,user provided function,0.723942,1,results-2025-09-13_04-55-16.json,lammps-decision-function
lammps,user provided function,0.023268999999999998,1,results-2025-09-13_05-29-07.json,lammps-decision-function
laghos,llm decision,105.8829305302,3,results-2025-09-13_06-19-42.json,laghos
laghos,llm decision,132.0225299637,24,results-2025-09-13_13-42-00.json,laghos
laghos,llm decision,130.8576017293,4,results-2025-09-13_15-35-49.json,laghos
laghos,llm decision,343.8418925076,3,results-2025-09-13_16-49-33.json,laghos
laghos,llm decision,120.9363319592,3,results-2025-09-13_17-32-34.json,laghos
laghos,llm decision,131.2926264056,3,results-2025-09-13_18-25-39.json,laghos
laghos,llm decision,348.2142430922,4,results-2025-09-13_19-20-52.json,laghos
laghos,llm decision,127.9263930007,2,results-2025-09-13_20-07-22.json,laghos
laghos,llm decision,132.4901560355,4,results-2025-09-13_21-18-13.json,laghos
laghos,llm decision,352.9537111321,4,results-2025-09-13_23-24-22.json,laghos
laghos,user guided function,134.3420144394,2,results-2025-09-14_19-43-25.json,laghos-decision-function
laghos,user guided function,12.4206301397,1,results-2025-09-14_21-05-06.json,laghos-decision-function
laghos,user guided function,17.6404101065,3,results-2025-09-14_22-54-14.json,laghos-decision-function
laghos,user guided function,13.6833036687,3,results-2025-09-15_00-46-28.json,laghos-decision-function
laghos,user guided function,9.7703139807,1,results-2025-09-15_02-54-47.json,laghos-decision-function
laghos,user guided function,113.0835256445,1,results-2025-09-15_04-46-56.json,laghos-decision-function
laghos,user guided function,16.0447576345,1,results-2025-09-15_05-28-46.json,laghos-decision-function
laghos,user guided function,10.0092930329,1,results-2025-09-15_06-36-17.json,laghos-decision-function
laghos,user guided function,12.4057681652,1,results-2025-09-15_08-39-32.json,laghos-decision-function
